,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
5085,20165,Teknaf,1982,6,36.0,24.8,1353.0,84.0,1.4,6.5,2.8,41998,734765.4,308914.1,20.87,92.26,4,1982.06,1
5086,13171,Mongla,2012,8,35.0,26.5,449.0,88.0,2.4,5.8,4.4,41958,452007.3,499110.5,22.43,89.66,4,2012.08,1
5087,19727,Sylhet,2009,12,30.0,14.8,0.0,77.0,2.4,1.0,7.0,41891,694533.2,752277.9,24.88,91.93,35,2009.12,0
5088,884,Bhola,1974,9,35.0,24.4,341.0,90.0,0.6,5.4,3.787878788,41951,567637.6,510271.8,22.7,90.66,5,1974.09,0
5089,3617,Comilla,1951,6,32.8,25.5,539.0,87.0,2.501851852,7.1,4.927272727,41933,621445.2,596963.4,23.48,91.19,10,1951.06,1
5090,8960,Ishurdi,1995,9,35.0,25.8,345.0,85.0,1.2,6.3,4.1,41907,402483.2,667640.8,24.12,89.04,14,1995.09,1
5091,6413,Dinajpur,1991,6,34.6,25.2,376.0,85.0,1.1,5.9,4.9,41863,365790.2,834718.0,25.63,88.66,37,1991.06,1
5092,1962,Bogra,1998,7,35.0,26.5,749.0,89.0,1.2,7.0,2.8,41883,435303.7,751187.5,24.88,89.36,20,1998.07,1
5093,16444,Rangpur,2011,5,35.7,23.2,261.0,82.0,2.3,5.7,6.9,41859,426172.9,844822.3,25.72,89.26,34,2011.05,0
5094,18385,Srimangal,1956,2,33.8,8.3,0.0,76.0,0.735185185,0.9,7.878571429,41915,675761.6,687095.9,24.29,91.73,23,1956.02,0
5095,16232,Rangpur,1993,9,35.0,25.2,357.0,88.0,1.2,5.7,5.1,41859,426172.9,844822.3,25.72,89.26,34,1993.09,0
5096,6142,Dinajpur,1968,11,31.3,16.8,0.0,73.0,0.1,0.4,7.7,41863,365790.2,834718.0,25.63,88.66,37,1968.11,0
5097,14096,Patuakhali,1982,9,33.7,26.1,472.0,81.0,2.2,4.8,4.051724138,41960,534986.1,472575.7,22.36,90.34,3,1982.09,1
5098,17784,Satkhira,2009,1,29.8,14.4,0.0,81.0,1.3,0.7,5.1,41946,404211.7,508367.2,22.68,89.07,6,2009.01,0
